tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt2812828,Giuseppe Verdi: Messa Da Requiem,2007,Music,Tiziano Mancini,"Norma Fantini, Anna Smirnova, Francesco Meli, Rafal Siwek"
tt1112836,Hitler & Mussolini - Eine brutale Freundschaft,2007,Documentary,"Ullrich Kasten, Hans von Brescius","Adolf Hitler, Benito Mussolini"
tt0389493,Vi saluto dall'altro mondo,1944,N/A,Dino Hobbes Cecchini,"Laura Carli, Giorgio Ferroni, Elio Steiner"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt1243957,The Tourist,2010,"Action, Romance, Thriller",Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton"
tt0072364,The Voyage,1974,"Drama, Romance",Vittorio De Sica,"Sophia Loren, Richard Burton, Ian Bannen, Barbara Pilavin"
tt0472521,Magic Mirror,2005,"Drama, Music",Manoel de Oliveira,"Leonor Silveira, Ricardo Trêpa, Luís Miguel Cintra, Leonor Baldaque"
tt3665052,Spise med Price,2014,Documentary,Jacob Benjamin Snedevig,"Adam Price, James Price, John Price"
tt0078488,Who Is Killing the Great Chefs of Europe?,1978,"Comedy, Mystery, Crime",Ted Kotcheff,"George Segal, Jacqueline Bisset, Robert Morley, Jean-Pierre Cassel"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt1530338,The Bold and the Beautiful,2000,"Drama, Romance",N/A,"Bobbie Eakes, Adrienne Frantz, Winsor Harmon, Ronn Moss"
tt1530339,The Bold and the Beautiful,2000,"Drama, Romance",N/A,"Bobbie Eakes, Andrea Evans, Adrienne Frantz, Winsor Harmon"
tt0047469,Senso,1954,"Drama, History, Romance",Luchino Visconti,"Alida Valli, Farley Granger, Heinz Moog, Rina Morelli"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0134119,The Talented Mr. Ripley,1999,"Crime, Drama, Thriller",Anthony Minghella,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett"
tt0047469,Senso,1954,"Drama, History, Romance",Luchino Visconti,"Alida Valli, Farley Granger, Heinz Moog, Rina Morelli"
tt0047469,Senso,1954,"Drama, History, Romance",Luchino Visconti,"Alida Valli, Farley Granger, Heinz Moog, Rina Morelli"
tt0036817,Fatto di cronaca,1945,N/A,Piero Ballerini,"Osvaldo Valenti, Luisa Ferida, Anna Capodaglio, Milena Penovich"
tt0047905,La buona fortuna,1945,N/A,Fernando Cerchio,"Maurizio D'Ancora, Anna Bianchi, Olga Solbelli, Emilio Baldanello"
tt0038226,La vita semplice,1946,N/A,Francesco De Robertis,"Luciano De Ambrosis, Giulio Stival, Anna Bianchi, Maurizio D'Ancora"
tt0037169,Peccatori,1945,Drama,Flavio Calzavara,"Memo Benassi, Renato Bossi, Anna Capodaglio, Frida Carbonetti"
tt0036604,L'angelo del miracolo,1945,N/A,Piero Ballerini,"Emma Gramatica, Attilio Dottesio, Milena Penovich, Bianca Doria"
tt0037189,Posto di blocco,1945,N/A,Ferruccio Cerio,"Armando Anselmo, Leony Bert, Susi Butti, Franco Castellani"
tt0037394,Trent'anni di servizio,1945,N/A,Mario Baffico,"Emilio Baldanello, Cesco Baseggio, Leony Bert, Tino Bianchi"
tt0037144,Ogni giorno è domenica,1946,N/A,Mario Baffico,"Giuliana Pinelli, Roberto Bossi, Emilio Baldanello, Olga Solbelli"
